ActiveNewsReaders,Popularity,Verified,totalTweets,tweets,ptweets
theReal_Rebel,2.4516746411483252,False,720228,"['Are we ever going to lose the trope that rich people are hypocritical if they care about poor people? FDR should have killed that one dead 70 years ago.', 'At a CNN town hall, Elizabeth Warren had to explain why she, a woman, is electable. Twice. https://t.co/mXVlb3Jvcn', 'Leftovers will make a mean lunch tomorrow. \nhttps://t.co/WEGm8oTuLO', '#HappyEarthDay #LosAngeles https://t.co/7Ip5aObh8b', ""Livestreaming with @DancingSean on this week's phenomenal episode of #GameofThrones @WesterosHistory https://t.co/yPEeW0AbUC https://t.co/TS31r8rZ1b"", '@theReal_Rebel I do. Thank you 🙏', 'NASA Finds Entire Solar System Filled with Planets Like our Own https://t.co/H1FiaUhV1t', ""Evening Briefing: Here's what you need to know at the end of the day https://t.co/NBRPWogRM9"", 'In just one hour I’ll take the stage at our @CNN Town Hall. I can’t wait to discuss the issues that matter — how we can make the economy work for everyone, giving our nation’s educators a raise, and more.', 'The Constitution doesn’t impose many absolute obligations on Congress—assemble once a year, choose officers, and keep a journal. \n\nStill, Congress’s duty isn’t to just follow the Constitution’s orders. It’s to use the powers conferred by the Constitution to protect the republic. https://t.co/CVF7XIKVSg']",ever go lose trope rich care poor kill one dead year ago town hall warren explain woman elect twice make mean lunch tomorrow week thank find solar system fill planet like even brief here need know end day one hour take stage town hall can wait discus matter make work give nation rais mani year keep journal still congress follow order it use power protect
DavePOfficial,1.0311397340044908,False,134484,"['Sometimes I’m watching TV and I’m like, “are white people 3% of the population now?”.', 'As of now, 17 AMC locations will be open for four days straight — or 96 hours https://t.co/Yg6vAhDGdG #AvengersEndgame https://t.co/u28nLLpycU', 'Black students tend to do better overall at historically black colleges, studies have shown. But many HBCUs across the country are struggling to stay afloat. \n\n@kurtisalee &amp; @jaweedkaleem chronicle the pressures facing HBCUs: https://t.co/pfPH7LUXqC', 'Martha Cooper captured some of the first images of graffiti at a time when the city had declared war on this new art form. Decades later, Cooper has become an unlikely icon to a global movement of street artists. This #Tribeca2019 doc honors her influence: https://t.co/0AK5xvo4gP https://t.co/xw8LXaN9be', ""Wall Street was bailed out by Congress to the tune of at least $1 trillion. Don’t tell me we don't have enough money in this country to substantially reduce student debt. #SandersTownHall"", '.@Kevfeige and @Russo_Brothers hit the red carpet. #AvengersEndgame https://t.co/TZMohOroLJ', 'Vote for #WomenInFilm &amp; @TheCSUEA to win an @LA2050 Grant to launch the Campus to Career Initiative. More details about our proposal at https://t.co/wHWQEJzSPu.\n\nVote at https://t.co/5PskzX9asx. #LA2050 🗳 https://t.co/qPfK5gEJZq', 'Prince had been working on a memoir before he died of a fentanyl overdose in 2016. He was collaborating on the project with writer Dan Piepenbring, who will contribute an introduction to the upcoming memoir, expected this fall https://t.co/2t9xFLTS80', 'What we know so far about the Sri Lanka bombings:\n\n— More than 290 people were killed and about 500 wounded\n— Victims came from at least 8 countries\n— Dusk-to-dawn curfew was in effect Monday night in Colombo and major social media  services remain blocked https://t.co/wCdw9ml3Y6', ""Sometimes the smallest act of love can take up the biggest space in someone's heart.""]",watch like are white now open four day straight hour black student tend better black shown mani across stay afloat face cooper first time war new art form decad later cooper icon global movement street artist doc honor wall street bail congress tune least trillion don tell dont enough money student debt hit red carpet vote win grant launch career detail vote work memoir die project writer dan memoir expect fall know far sri bomb kill wound victim came least curfew effect night major social medium remain block act love take biggest space heart
KathArevalo3,1.0928571428571427,False,16366,"['Y cuántos episodio tendrá la última temporada de GOT??? Así me voy preparando ya mentalmente que voy a pasar leyendo tanta cosa por semanas 😵', ""Evening Briefing: Here's what you need to know at the end of the day https://t.co/NBRPWogRM9"", 'Fuckkk en conferencia y sin dormir por mas de 24 horas, feeling like shit 💀 https://t.co/fkREW9IsWl', ""If this ain't me every Monday 😴\n\n#EarthFromSpace https://t.co/UKdL1SLQ6P"", '#MamarreMamarre', ""Today is #EarthDay, and this year's theme is Protect Our Species.\n\u2063\nWe all have an important part to play in protecting #ourplanet and the species we share it with. Every effort, big or small, counts. \u2063\n\nPhoto by @walmswild \n\n#protectourspecies #earthday2019 #orangutans https://t.co/Epbj9u8ANS"", 'Y los domingos todo es sobre GOT (que jamás he visto) https://t.co/wykoYAb8SU', 'What we know so far:\n\n— On Easter Sunday, at least 8 coordinated bombing attacks struck Sri Lanka, targeting churches and hotels\n— At least 207 people are dead and 450 others wounded\n— 7 people have been detained in connection with the attacks\nhttps://t.co/h2Pf2rb3Qh', '@lettcornejo Si 😂 yo me enamoré mil veces casi que por cada dos pasos que daba me enamoraba de diferentes personas 😂', 'Another Sunday, another lie for grandma 👵🏻 🙄']",la de got ya even brief here need know end day en sin ma de hora feel like aint today year theme protect import part play protect share effort big small count photo orangutan lo e got visto know far easter least bomb attack struck sri target church hotel least dead other wound detain connect attack si yo mil do de persona lie grandma
Christi46119463,1.8295081967213114,False,111472,"['529 women ran for congress in 2018 — Meet four of them in @knockdownmovie on May 1. https://t.co/nJU40nfwfJ', 'Stephen Moore wrote that women should be banned from refereeing, announcing or beer vending at men\'s college basketball games, asking if there was any area in life ""where men can take vacation from women."" (From @KFILE and Paul LeBlanc) https://t.co/RWrQefVI9F https://t.co/IeXkPbJUd3', '#WarrenTownHall @ewarren OK. I am proud of Warren for invoking race in front of a majority white crowd &amp; in reply to an answer by a white aspiring cop. Tell the truth sister, wherever you find yourself.', ""Dear @RepMaxineWaters,\n\nOn the call, you said you were not organizing a movement to #SupportImpeachment.\n\nIs there anything we can do to help you get started? We are ready.\n\nPolls show that 67% of Democrats want to #ImpeachTrump NOW.\n\nIt's time. Let's go! https://t.co/Anwoz2lFfx"", 'Unprecedented that a former Secretary of State would say this and it probably won’t even make the news in our country. https://t.co/jX6Vs0OvQ5', 'In addition to the state ban on plastic bags, NYC has now passed a 5-cent fee for paper bags that will begin next year \nhttps://t.co/s6iwdUaRJH', 'Stop comparing #ImpeachDonaldTrump to Nixon. Donald Trump is no Richard Nixon. He’s worse: https://t.co/MCEqx8isKy', '@realDonaldTrump So your response to murmurs of impeachment is to lie about the findings of the report and then investigate your political opponents?\n\nIs that what you are going with?\n\nThis should be a nice exhibit for your impeachment proceedings!', 'House panel subpoenas former White House counsel Don McGahn as part of its investigation into obstruction of justice\n\nhttps://t.co/gkzTSGyjpc', 'I’m running for President to build a strong and safe country, create the jobs of the future, and elect leaders we can be proud of. Join our mission: https://t.co/9caxN9579q. https://t.co/Pyr6IRNq5e']",woman ran congress meet four may moor wrote woman ban beer vend men game ask area life men take woman warren race front major white crowd answer white cop tell truth sister find dear call said organ movement help get start poll show democrat want time let go former state would say probabl won even make news state ban plastic bag fee paper bag begin next year stop trump he murmur impeach lie find report go nice exhibit impeach proceed panel subpoena former white counsel part obstruct run build strong safe creat job elect leader join mission
BKINDNBHAPPY,1.5766062602965403,False,6330,"['In addition to the state ban on plastic bags, NYC has now passed a 5-cent fee for paper bags that will begin next year \nhttps://t.co/s6iwdUaRJH', '""Something to think about:\n\nThe Earth is 4.6 billion years old. Let\'s scale that to 46 years. \n\nWe have been here for 4 hours. Our industrial revolution began 1 minute ago.\n\nIn that time, we have destroyed 50% of the world\'s forests. This isn\'t sustainable."" #EarthDay https://t.co/R3cb34Smbw', '🍎🍋🥕🍅🥒🥔\n\nLeila &amp; her husband started growing organic, natural vegetables.\n\nNow, they can eat from their farm and increase their income. #EarthDay https://t.co/NG6zJKKAsv', 'The Nature of Reality at MIT \nhttps://t.co/8GAvmLYCx7', ""Happy #EarthDay!\n\nWant to show the world you care about #climateaction? We've put a selection of gifs on our @Giphy channel. See: https://t.co/0U8RsyCuf9 https://t.co/Nb9lY2WA7Z"", 'the @SportsBizClass could be your chance to break into sports: https://t.co/9xHjZQlORp https://t.co/Li9b39CTW3', 'In case you’re wondering, there are over 740 women’s soccer players on the NCAA Transfer Portal right now!  Seems like a lot. One theory is this is a product of players committing as freshmen/sophomores. This is unhealthy for universities, families and student athletes alike.', 'NCAA Recruiting Rules Change, Allow Earlier Recruiting, Official Visits https://t.co/9Ik4wCE4im', 'This whiteboard @DwyaneWade mural is unbelievable.\n\n(via jcoreyartist/IG) https://t.co/rN08cJPnup', '@jimreilly43 So to answer....no I am not a philosopher and you ?']",state ban plastic bag fee paper bag begin next year think earth billion year old let scale year hour ago time destroy world forest sustain husband start grow organ eat farm want show world care weve put select gif channel see could break sport case you re wonder woman soccer player transfer portal right seem like lot one product player commit student recruit rule chang allow recruit visit mural via philosoph
joleonbusby,11.135135135135135,False,959418,"['In case you missed it... Watch @Dee1Music test your faves on how much they know about the Lord at the 34th Annual Stellar Awards. #StellarAwards2019 https://t.co/9qf8W3Xl26', 'Welcome to the party, @RobertDowneyJr. #IronMan #AvengersEndgame https://t.co/rCbzVl2R3P', 'Ava DuVernay Unveils Official Trailer for ‘Central Park Five’ Series https://t.co/xG8Hr49xUC https://t.co/LKHedOPE9c', 'T.I. helped raise $120,000 to bail out 23 nonviolent offenders for Easter https://t.co/XDXyvVou3y https://t.co/XRuxJ38VEg', 'All summer 😎 https://t.co/38Ju7UftXI', ""The Upshot turns five years old today! After about 3,000 stories, here's our boast list, our traffic monsters, and our just plain weird.\n\nhttps://t.co/j7Qg55vqLO"", 'I had a problem, I went online for answers, and I found Jordan Peterson, writes @robkhenderson. It’s clear I’m not the only one doing this. https://t.co/nzk6nsdSqa', 'Kanye West’s Star-Studded Sunday Service at Coachella Featured Chance The Rapper, DMX, Teyana Taylor and More https://t.co/ZiMGrrXlmU https://t.co/K7TZKszbT5', 'Why do what you will regret? Why bring tears upon yourself? Do only what you do not regret, And fill yourself with joy.', ""The number of people killed in Sri Lanka's church and hotel attacks has risen to 290, Superintendent of Police says https://t.co/c0WfoBeI0M""]",case miss watch test much know lord annual stellar award ironman ava unveil trailer central park five ti help rais bail offend easter summer upshot turn five year old today here boast list traffic monster plain weird problem went answer found jordan write it clear one west rapper regret bring tear upon regret fill joy number kill sri church hotel attack risen superintend say
lights_rage,1.3705882352941177,False,42442,"['Podcast: How to Tell if Your iPhone is New, Refurbished or a Replacement https://t.co/3uJQxqm1ii', ""More than 80% of U.S. parents support the teaching of climate change, according to a new NPR/Ipsos poll. And 86% of teachers agree.\n\nBut most teachers aren't actually talking about climate change in their classrooms. https://t.co/vTuSoqS1H6"", 'I am going to lay down and hope @forcepower422 responds to my calls I have something important to tell him.', '@MkFreak1992 took me a restore from my icloud.', 'Humanity is at a place of important crossroads where we must make critical decisions about several issues such as The direction of growth of  the World Wide Web, artificial intelligence, surveillance technologies, and genetic engineering. Learn more from:  https://t.co/AJZxHtWg9x', 'In addition to the state ban on plastic bags, NYC has now passed a 5-cent fee for paper bags that will begin next year \nhttps://t.co/s6iwdUaRJH', 'House Democrats subpoena former White House counsel Don McGahn, asking him to testify and to turn over documents about what the Mueller report characterized as attempts by Trump to control the special counsel’s investigation https://t.co/WjE5KQHYDe', 'When will 911 catch up with technology? https://t.co/frotddD8yV', ""This is where Warren's professorial skills come in handy-watch her break down the importance of breaking down monopolies like Amazon that provide a cheap service we all want. Brilliant. #WarrenTownHall https://t.co/TtJuYnowHD"", 'The tag team duo in @GreeneCountySO way to go #K9Lor \n#BluePawsMatter \n@JamesCraigmyle https://t.co/ZFwQyPu2OR']",tell new refurbish u parent support teach chang accord new poll teacher agre teacher arent actual talk chang classroom go lay hope respond call import tell took human place import crossroad must make critic sever direct growth world wide web genet learn state ban plastic bag fee paper bag begin next year democrat subpoena former white counsel ask turn document report character attempt trump control special counsel catch warren skill come break import break like cheap want brilliant tag team duo way go
mrmadillnews,7.363636363636363,False,3364,"['In addition to the state ban on plastic bags, NYC has now passed a 5-cent fee for paper bags that will begin next year \nhttps://t.co/s6iwdUaRJH', ""Zelenskiy, a comedian who plays a high school teacher who is elected Ukraine's president on a popular TV series, has never held political office. https://t.co/HesLZ6nrwe"", 'Man who killed Ottawa cyclist obstructed justice because he feared racist police, avoids jail time https://t.co/QNGpzCMzhV https://t.co/3riQgZIZVK', ""Barr's use of fragmentary quotes from the Mueller report to bolster his narrative-shaping letter to Congress last month was misleading, omitting words &amp; context to make them look better for Trump. Here is each passage in his letter alongside the original.\n https://t.co/Vumlhz3V5c"", 'Flyers cover statue of singer Kate Smith amid racism allegations | CBC Sports https://t.co/egQnHPt9XO', 'New Brunswick man sentenced to a year in jail for letting dog starve to death https://t.co/dtD7NRSbLb https://t.co/WNsBsVMHSe', 'Ontario announces $1 billion in cuts to Toronto Public Health https://t.co/DU3E8e8FGR', 'Most Canadians say politicians should face term limits, poll suggests https://t.co/gsyBs1mC7A', 'McKenna says Tory MPs not telling constituents about carbon tax rebate https://t.co/pcCnvbefVp', 'The Mueller report says the investigation could not conclude that Trump obstructed justice but that Congress still has the ability to do so: https://t.co/O0YUi565ZU\n\nRead the report: https://t.co/DFWBA7cW7M']",state ban plastic bag fee paper bag begin next year comedian play high school teacher elect popular never man kill cyclist obstruct fear racist avoid jail time use quot report bolster letter congress last month mislead omit word context make look better trump letter origin flyer cover singer smith amid racism sport new brunswick man year jail let dog death billion cut public health say politician face term limit poll suggest say torus tell carbon tax report say could trump obstruct congress still read report
DSongMarshall,1.0526918671248569,False,25502,"['In addition to the state ban on plastic bags, NYC has now passed a 5-cent fee for paper bags that will begin next year \nhttps://t.co/s6iwdUaRJH', 'So last year I left college to raise my daughter and stayed away longer than intended after I was diagnosed with cancer. I’m trying to raise money to go back and finish what I started. Please retweet this or donate if you can. literally anything will help. https://t.co/XxKZRqQWOF', 'Last year alone, 918 homeless people died. And in the last five years, deaths have jumped 76%, outpacing the growth of the homeless population, according to an analysis of county coroner data by Kaiser Health News. https://t.co/quB4fqr3em', 'I saw a sign in the shop yesterday that said \n\n""My prices are based on my talent......not your budget""\n\nI feel like everyone with a craft should have this sign. Barbers, photographers, make up artist, tattoo artist, Caterers, etc.', 'If you want to insist student debt is an investment decision and chide the kids for screwing up the ROI calculation, you need to account for why these debts aren’t ordinarily dischargeable in bankruptcy. Why should naive teenagers be treated more harshly than other entrepreneurs?', 'honestly can’t get over the idea that 18-year-olds are supposed to be able to “afford” any kind of college in any capacity. that’s a nonsensical idea and we don’t have to pretend it makes sense. it’s “if your parents aren’t rich, well, sorry!” but rephrased', 'You have to pay something back so that everyone gets a chance. If we put a 2% tax on the wealthiest families in the country, we can have universal Pre-K, universal free college, knock back student loan debt for 95% of Americans—and still have a trillion dollars leftover.', 'y’all call KODAK BLACK a legend but call BEYONCE overrated that’s when i knew', 'They really traveled halfway across the world and entered another country just to flex how racist and xenophobic they are.\n\nColonizers are actually poison...my goodness. lol https://t.co/PQy542UxOw', '.@galdemzine putting literally every publishing company to shame by paying an actual wage to its interns, despite having far fewer resources. Time for the big ones to step up, too https://t.co/bDM5NvEu7N']",state ban plastic bag fee paper bag begin next year last year left rais daughter stay away longer intend cancer tri rais money go back finish start plea liter help last year homeless die last five year death jump growth homeless accord data kaiser health news saw sign shop yesterday said price base budget feel like craft sign barber photograph make artist tattoo artist cater want insist student debt invest chide screw roi need account debt treat entrepreneur can get idea afford kind that idea don pretend make sen it if parent rich well pay back get put tax free knock back student loan debt still trillion dollar all call kodak black legend call that knew travel halfway across world enter flex racist colon actual good put liter publish shame pay actual wage intern far time big one step
VernaPolitics,2.411594202898551,False,326811,"['Everything you need to know about the #SriLankaAttacks https://t.co/tLETT2Qcky', 'The @dccc and @NRCC have not restarted discussions about barring campaigns from using stolen information. More from @bridgetbhc: https://t.co/H8Cua7zRTR', ""House Democrats' immediate strategy is following up Mueller's evidence in their existing probes (6 committees investigating Trump) but calls for impeachment are growing in the caucus.\nhttps://t.co/FXfmY3zbBf"", ""@thisisamericatv  pleased sme have come to realize it's not \nmonolithic / nor represents a sole point-of- view n any way."", ""#HowardUniversity's Professor Nikki M. Taylor discusses the horrors of #slavery in America and her book, Driven Toward Madness: The Fugitive Slave Margaret Garner and Tragedy on the Ohio.\nhttps://t.co/BtrtELhhwf"", '""You can\'t even understand US #history without understanding #AfricanAmerican history."" - #HowardUniversity\'s Professor Nikki M. Taylor. \nhttps://t.co/BtrtELhhwf', '“Never be limited by other people’s limited imaginations.”\n\n–Dr. Mae Jemison\n#MondayMotivation', ""At CNN's marathon of 5 town halls on Monday night, Senator Amy Klobuchar stopped short of calling for President Trump's impeachment and expressed skepticism about tuition-free public colleges https://t.co/LgigXYDMTf"", 'A Brooklyn judge has upheld New York City’s mandatory measles vaccination order, rejecting arguments from parents of unvaccinated children that the current outbreak does not justify “drastic emergency measures” that override individual rights. https://t.co/lZ4lINi1k8 #vaccination https://t.co/C8FdEqUBq8', 'Russian intelligence officers injected malicious code and then ran commands to extract information https://t.co/ZxcO8ZESaw']",need know restart discus bar campaign use stolen inform democrat strategi follow exist probe trump call impeach grow plea come monolith sole view way professor discus horror book driven toward mad slave garner cant even understand u without understand professor never limit limit mae marathon town hall night ami stop short call trump impeach express skeptic public upheld new york order reject argument parent child current outbreak drastic right inject code ran command extract inform
